date,wordcount
2016-11-06,291
2017-07-10,5379
2017-07-11,430
2017-07-12,712
2017-07-13,1822
2017-07-14,806
2017-07-16,517
2017-07-17,1148
2017-07-18,1656
2017-07-19,2075
2017-10-11,230
2018-04-12,2680
2018-04-13,2103
2018-04-10,716
2018-04-11,3241
2018-04-16,2434
2018-04-17,2367
2018-04-14,942
2018-04-15,3703
2018-04-18,2828
2018-04-19,2510
2016-12-16,1987
2017-10-19,545
2017-02-17,123
2017-02-16,3443
2017-02-15,397
2017-02-14,589
2017-02-13,695
2017-02-10,675
2018-06-24,276
2018-06-21,649
2018-06-20,873
2017-02-19,505
2017-02-18,690
2017-04-15,2147
2017-04-14,1196
2018-01-26,77
2017-04-17,1419
2018-03-01,1970
2018-03-02,226
2017-04-16,658
2018-03-04,1375
2017-09-15,928
2018-03-06,3236
2018-03-07,754
2018-03-08,1559
2018-03-09,2498
2017-04-30,771
2016-12-02,115
2018-03-31,839
2018-04-27,2083
2016-12-03,194
2018-04-29,976
2018-04-28,133
2018-01-31,1583
2018-01-30,236
2018-03-30,356
2018-04-26,728
2016-12-08,266
2017-04-18,1913
2018-05-28,1222
2018-04-23,1362
2018-04-22,729
2018-05-20,500
2018-05-21,454
2018-05-22,2180
2018-05-23,2397
2018-05-24,835
2018-04-21,468
2018-05-26,163
2018-05-27,397
2017-06-28,2573
2017-06-29,5105
2017-06-22,70
2017-06-23,8
2017-06-20,1860
2017-06-21,690
2017-06-26,847
2017-06-27,174
2017-06-24,79
2017-06-25,252
2018-04-25,2669
2018-04-24,1693
2017-05-27,1841
2017-05-26,1411
2017-11-01,1407
2017-11-02,2391
2017-11-03,2218
2017-11-04,2925
2017-11-05,308
2017-11-06,2141
2017-11-07,984
2017-11-08,604
2017-11-09,1033
2017-05-10,512
2017-05-11,287
2017-02-28,983
2017-02-26,1413
2017-02-27,1406
2017-02-24,3645
2017-02-25,1700
2017-02-22,773
2017-02-23,4001
2017-02-20,1324
2017-02-21,1628
2017-12-28,426
2017-12-27,401
2017-12-26,920
2017-12-25,500
2017-12-23,277
2017-05-29,4008
2017-12-21,89
2017-12-20,288
2017-03-08,189
2017-06-14,1986
2017-12-22,672
2017-05-23,588
2017-05-22,2242
2017-05-21,428
2016-12-31,457
2017-04-07,284
2017-04-04,778
2017-04-05,1373
2017-04-02,1731
2017-04-03,1504
2017-04-01,1361
2017-08-28,973
2017-04-08,346
2017-04-09,2476
2017-01-05,182
2017-01-04,452
2017-01-07,1071
2017-01-06,2219
2017-01-01,2138
2017-03-05,1434
2017-01-03,574
2017-01-02,1619
2017-03-04,89
2017-01-09,450
2017-01-08,1602
2018-01-08,244
2018-01-09,3
2018-01-02,850
2018-01-03,2664
2018-01-01,1045
2018-01-06,379
2018-01-07,451
2018-01-04,1845
2018-01-05,1432
2017-08-11,1440
2017-08-10,523
2017-08-13,389
2017-08-12,1212
2017-08-15,1939
2017-08-14,2771
2017-08-17,929
2017-08-16,1131
2017-08-19,497
2017-08-18,171
2017-03-14,914
2017-03-15,2261
2017-03-16,3004
2017-03-17,271
2017-03-10,568
2017-03-11,166
2017-03-12,966
2017-03-13,149
2017-03-18,317
2017-09-09,270
2017-09-08,2358
2017-09-05,1941
2017-09-04,1436
2017-09-07,1083
2017-09-06,1892
2016-11-30,10
2017-09-03,484
2017-09-02,297
2017-07-07,1146
2017-07-06,3324
2017-07-05,1177
2017-07-04,876
2017-07-03,480
2017-07-01,305
2017-07-09,444
2017-07-08,795
2018-02-21,2420
2016-11-23,995
2018-02-23,2002
2018-02-22,1660
2018-02-25,554
2018-02-24,1216
2018-02-27,2838
2018-02-26,3259
2018-04-09,1275
2018-02-28,3933
2018-06-10,359
2018-06-11,1224
2018-06-12,170
2017-10-22,483
2018-06-14,357
2018-06-15,896
2018-06-16,335
2018-06-17,10
2018-06-18,1090
2018-06-19,337
2018-02-11,1467
2017-10-28,567
2018-03-17,936
2018-03-16,1670
2018-03-15,2277
2018-03-14,2806
2018-03-13,2171
2018-03-12,2066
2018-03-11,933
2018-03-10,451
2018-03-19,1803
2017-07-20,558
2017-12-16,343
2017-12-17,1752
2017-12-14,390
2017-12-15,325
2017-12-10,3143
2017-12-11,428
2017-12-18,2321
2017-12-19,47
2017-04-06,2342
2016-12-30,3442
2018-06-22,3340
2018-05-31,58
2018-05-30,481
2017-10-21,131
2017-10-20,448
2017-10-23,2098
2017-04-10,208
2017-10-25,1471
2017-10-24,344
2017-10-27,353
2017-10-26,2023
2017-10-29,355
2017-06-30,188
2018-03-03,1054
2018-03-05,1348
